Nombre Municipio o Ciudad de Residencia,Pensionados Sexo F en Cundinamarca,Pensionados Sexo M en Cundinamarca,Total general en Cundinamarca
ACACIAS,6,4,10
AGUA DE DIOS,14,6,20
ALBANIA,1,,1
ANAPOIMA,5,2,7
ANDALUCIA,1,,1
ANOLAIMA,12,7,19
APULO,2,1,3
ARBELAEZ,33,11,44
BARICHARA,,1,1
BARRANQUILLA,4,,4
BELLO,2,,2
BOGOTA,17,5,22
BOGOTÁ D.C.,"3,212","1,352","4,564"
BOJACA,2,4,6
BOYACA,,1,1
BUCARAMANGA,7,3,10
CABRERA,1,,1
CACHIPAY,3,3,6
CAICEDONIA,1,,1
CAJICA,23,11,34
CALARCA,2,1,3
CALI,14,7,21
CAPARRAPI,3,3,6
CAQUEZA,16,10,26
CARMEN DE CARUPA,1,1,2
CARTAGENA,2,4,6
CHAGUANI,1,,1
CHIA,93,43,136
CHIPAQUE,2,2,4
CHIQUINQUIRA,1,,1
CHOACHI,8,7,15
CHOCONTA,9,7,16
CIRCASIA,1,,1
COGUA,11,5,16
CONTRATACION,,1,1
COTA,4,5,9
CUCUNUBA,4,1,5
CUCUTA,2,1,3
CUMARAL,7,1,8
CUMARIBO,1,,1
CUNDAY,,1,1
DOS QUEBRADAS,1,1,2
DUITAMA,4,2,6
EL COLEGIO,14,14,28
EL ROSAL,2,1,3
EN ACTUALZIACIÓN,47,27,74
ENVIGADO,1,,1
ESPINAL,2,1,3
FACATATIVA,117,88,205
FLANDES,4,4,8
FLORIDA,1,,1
FLORIDABLANCA,2,,2
FOMEQUE,21,8,29
FOSCA,3,1,4
FRESNO,1,,1
FUNZA,21,11,32
FUQUENE,2,1,3
FUSAGASUGA,248,127,375
GACHALA,1,1,2
GACHANCIPA,1,1,2
GACHETA,22,17,39
GAMA,,5,5
GARZON,,1,1
GIRARDOT,93,52,145
GIRON,1,,1
GRANADA,,1,1
GUACHETA,3,1,4
GUADUAS,28,18,46
GUAMO,1,,1
GUASCA,5,2,7
GUATAVITA,2,1,3
GUAYABAL DE SIQUIMA,2,1,3
GUAYABETAL,1,1,2
GUTIERREZ,2,,2
HONDA,4,2,6
IBAGUE,26,9,35
IPIALES,1,,1
ITAGUI,1,,1
JAMUNDI,1,,1
JARDIN,,1,1
JENESANO,1,,1
JERUSALEN,1,,1
JUNIN,15,19,34
LA CALERA,8,3,11
LA DORADA,1,2,3
LA MESA,44,25,69
LA PALMA,20,6,26
LA PEÑA,2,,2
LA UVITA,1,,1
LA VEGA,3,3,6
LENGUAZAQUE,1,1,2
LERIDA,1,,1
LIBANO,,1,1
MACHETA,7,4,11
MADRID,13,8,21
MANIZALES,3,1,4
MANTA,6,5,11
MARINILLA,1,,1
MARIQUITA,1,2,3
MEDELLIN,4,4,8
MEDINA,5,3,8
MELGAR,3,1,4
MIAMI,1,,1
MOMPOS,1,,1
MONTENEGRO,1,,1
MONTERIA,1,1,2
MOSQUERA,19,4,23
NATAGAIMA,1,,1
NEIVA,2,2,4
NEMOCON,3,4,7
NEW YORK,1,,1
NILO,2,,2
NIMAIMA,4,1,5
NOCAIMA,6,8,14
ORTEGA,1,1,2
PACHO,54,37,91
PAIPA,2,,2
PALOCABILDO,,1,1
PANDI,2,2,4
PARATEBUENO,3,,3
PASCA,,1,1
PASTO,1,1,2
PEREIRA,8,1,9
PIEDECUESTA,,1,1
PIENDAMO,2,,2
POPAYAN,1,,1
PUERTO BOYACA,1,,1
PUERTO SALGAR,5,2,7
PURIFICACION,,1,1
QUEBRADANEGRA,2,,2
QUETAME,1,1,2
QUIPILE,,1,1
RESTREPO,1,2,3
RICAURTE,3,2,5
SACRAMENTO,1,,1
SAN ANTONIO DE TEQUENDAMA,5,3,8
SAN BERNARDO,4,1,5
SAN CAYETANO,,1,1
SAN FRANCISCO,4,,4
SAN JUAN DE RIOSECO,12,3,15
SAN MARTIN,,1,1
SANTA MARTA,2,1,3
SANTA ROSA DE CABAL,1,,1
SASAIMA,5,1,6
SESQUILE,6,3,9
SIBATE,96,57,153
SILVANIA,5,8,13
SIMACOTA,,2,2
SIMIJACA,5,3,8
SOACHA,67,47,114
SOGAMOSO,1,1,2
SOLEDAD,2,,2
SOPETRAN,1,,1
SOPO,3,2,5
SUBACHOQUE,,2,2
SUESCA,2,2,4
SUPATA,5,1,6
SUSA,3,,3
SUTATAUSA,3,1,4
TABIO,14,7,21
TAUSA,,1,1
TENA,2,,2
TENJO,9,2,11
TENZA,2,,2
TIBACUY,4,1,5
TIBANA,1,1,2
TIBIRITA,,2,2
TOCAIMA,27,7,34
TOCANCIPA,5,7,12
TOPAIPI,1,,1
TULUA,1,,1
TUNJA,4,1,5
TURBACO,,1,1
UBALA,8,8,16
UBAQUE,4,,4
UBATE,76,24,100
UNE,1,,1
UTICA,4,,4
VALLEDUPAR,1,,1
VERGARA,6,4,10
VIANI,1,1,2
VILLAGOMEZ,2,,2
VILLAPINZON,10,4,14
VILLAVICENCIO,30,14,44
VILLETA,27,20,47
VIOTA,6,3,9
YACOPI,7,2,9
YOPAL,3,,3
ZIPACON,2,2,4
ZIPAQUIRA,136,68,204
